Шанс,Вопрос,Тэг
93,Расскажи о себе,HRский
83,Расскажи о своем опыте,HRский
83,Какие есть типы данных в Python,Python
66,Расскажи о своих лучших проектах,HRский
53,Что сподвигло стать Python разработчиком,HRский
43,Что такое контекстный менеджер,Python
43,Какие у тебя планы на развитие на ближайшее будущее,HRский
40,В чем разница между итератором и генератором,Python
36,Что такое SOLID,ООП
36,Что такое декораторы,Python
33,Какие базы данных использовал в работе,Базы данных
33,Чем init() отличается от new(),Python
33,Что такое генератор,Python
30,Что такое индексы и как они работают,Базы данных
30,Какие знаешь принципы ООП,ООП
30,Что такое итератор,Python
26,Что такое полиморфизм,ООП
26,Что может быть ключем в словаре,Python
26,Расскажи про ООП в программировании,ООП
23,Что такое лямбда-функции,Python
23,Что знаешь о наследовании,ООП
23,Что такое MRO,Python
23,Что такое миксин,ООП
20,Что знаешь про декоратор Middleware,Фреймворки
20,В чем суть принципа REST,HTTP / API
20,Расскажи о инкапсуляции,ООП
20,Что такое Acid в SQL,Базы данных
20,Для чего нужен PEP8,Best Practices
20,Что такое асинхронность,Асинхронность
16,Что такое магические методы,Python
16,В чем отличие списка от кортежа,Python
16,Что относится к изменяемым типам данных и к неизменяемым,Python
16,Что такое list comprehension,Python
16,Что такое метаклассы,Python
16,Что делает декоратор property,Python
16,"В чем отличие асинхронности, threading'га и мультипроцессинга",Асинхронность
13,"В чем разница сравнение через is и ""==""",Python
13,Python компилируемый или интерпретируемый,Python
13,Какие области в профессиональной деятельности у тебя развиты слабо,HRский
13,Расскажи о сложностях с которыми столкнулась во время обучения,HRский
13,Что такое slots,Python
13,Что знаешь про singleton,ООП
13,Какие основные HTTP методы знаешь,HTTP / API
13,Что знаешь про ORM,ORM
13,Мультипроцессинг что это,Асинхронность
13,Threading что это,Асинхронность
10,Как видишь свою идеальную команду,HRский
10,Был ли у тебя опыт работы в команде,HRский
10,Как справлялся с сложностями в команде,HRский
10,Какое направление разработки интересует,HRский
10,Как себя оцениваете как разработчика,HRский
10,расскажите с какими проблемами сталкивались в своих проектах,HRский
10,Что такое BigO notation,"Алгоритмы, структуры"
10,Какие фреймворки/библиотеки в основном используешь,Tools
10,Что такое GIL,Python
10,Что происходит в момент итерации по списку,Python
10,Почему решил заняться программированием,HRский
10,"Расскажи о ситуации, когда приходилось делегировать поставленные задачи",HRский
10,Разница между одинарным и двойным подчеркиванием Python,Python
10,Чем отличаются декораторы classmethod и staticmethod,Python
10,Кем себя видишь через два года при работе в фуллтайм,HRский
10,Почему выбрал направление бекэнд,HRский
10,"Как в функцию передаются аргументы, по ссылке или по значению",Python
10,Как работает middleware,Фреймворки
10,Что такое Docker,Tools
10,Что знаешь про два основных типа данных Python,Python
10,"Что быстрее, словарь или список","Алгоритмы, структуры"
10,Что знаешь о сложности алгоритма,"Алгоритмы, структуры"
10,Зачем нужен метод super в классе,ООП
10,Что такое абстрактные классы,ООП
10,Отличия rebase от merge,Tools
10,Какие магические методы и для чего используются,Python
10,Что тебе известно про нереляционные базы данных,Базы данных
10,Что такое транзакция,Базы данных
10,Какие есть коды ответов HTTP,HTTP / API
10,Для чего нужен сериализатор,HTTP / API
10,Какие типы HTTP запросов знаешь В чем их отличия,HTTP / API
10,Какие паттерны программирования знаешь,Best Practices
10,Что такое корутина в Python,Асинхронность
10,Что такое git,Tools
6,Для чего используют redis в проектах,Tools
6,Что ожидаешь от будущей работы,HRский
6,Что такое cherry pick,Tools
6,Был ли опыт в написании личных проектов,HRский
6,Чем хорош FastAPI,FastAPI
6,Как реализован many to many в Django,Django
6,Что такое querySet() в Django,Django
6,Назови основные сущности в Django,Django
6,Какую бы связь использовал для расширения стандартного юзера,Django
6,Что знаешь о принципах программирования DRY,Best Practices
6,Что такое git flow,Tools
6,Как распределяешь свое рабочее время,Best Practices
6,Объясни значение Model View Teamplay (MVT),Django
6,Что означает querySet() ленивые,Django
6,Что предпринимаешь если сталкиваешься с трудностями,HRский
6,Где можно хранить бизнес-логику приложения,Best Practices
6,Что в твоем понимании значит правильный код,Best Practices
6,Что знаешь о принципах программирования KISS,Best Practices
6,Объясни как происходит обработка HTTP запросов на Django,Django
6,Как абстрактный класс реализуется в Python,ООП
6,В чем разница между MRO2 и MRO3,Python
6,Как бы сделал все значения списка уникальными,Python
6,Что такое args,Python
6,Что такое kwargs,Python
6,Что такое глубокая копия,Python
6,Что такое поверхностная копия,Python
6,В чем разница между процессом и потоком,Python
6,Как устроены переменные в Python,Python
6,Расскажи про иерархию исключений Python,Python
6,"Какая в Python типизация, статическая или динамичная",Python
6,Что такое замыкания,Python
6,Что такое git flow,Tools
6,Что такое модуль,Python
6,Что такое dunder методы,Python
6,Был ли опыт в написании личных проектов,HRский
6,Что такое миграция,ORM
6,Что такое HTTP и HTTPs,HTTP / API
6,В чем преимущество ORM перед созданием запросов вручную,ORM
6,Что знаешь о хеш функции,"Алгоритмы, структуры"
6,Что такое рекурсия,"Алгоритмы, структуры"
6,"Расскажи о технологиях, с которыми работал",HRский
6,"Что бы делал в том случае, если бы человек в твоем проекте был человек, который не справляется с задачей",HRский
6,Какие очевидные недостатки у рекурсии,"Алгоритмы, структуры"
6,Какие у тебя есть результаты в бекенд разработке,HRский
6,Что тебе больше всего нравится в работе разработчика,HRский
6,Какая сложность основных операций в коллекциях,"Алгоритмы, структуры"
6,Как совмещал курсы с учебой в универе,HRский
6,Что предпринимаешь если сталкиваешься с трудностями,HRский
6,Чем тебя заинтересовала данная вакансия,HRский
6,Что такое Docker Compose,Tools
6,Что ожидаешь от будущей работы,HRский
6,С какими трудностями сталкивался в командной разработке,HRский
6,Что дает poetry,Tools
6,Как связываешь свою будущую профессию с бекендом Какие цели,HRский
6,Что означает querySet() ленивые,Django
6,Назови основные сущности в Django,Django
6,Как реализован many to many в Django,Django
6,Что знаешь о принципах программирования KISS,Best Practices
6,Где можно хранить бизнес-логику приложения,Best Practices
6,Что знаешь о принципах программирования DRY,Best Practices
6,Чем хорош FastAPI,FastAPI
6,Как абстрактный класс реализуется в Python,ООП
6,Как в python реализуются метод класса,ООП
6,Что такое self,ООП
6,Как в python реализуются статический метод,ООП
6,Что делает метод new,ООП
6,Что возвращает метод init,ООП
6,Что такое классы,ООП
6,Какие инструменты для виртуального окружения используются,Tools
6,В чем преимущество ООП перед обычными функциями,ООП
6,Что такое виртуальное окружение,Tools
6,Чем отличаются классы от миксинов (mixin),ООП
6,Как распределяешь свое рабочее время,Best Practices
6,Что в твоем понимании значит правильный код,Best Practices
6,Объясни значение Model View Teamplay (MVT),Django
6,Объясни как происходит обработка HTTP запросов на Django,Django
6,Что такое querySet() в Django,Django
6,Какую бы связь использовал для расширения стандартного юзера,Django
6,Для чего подходят асинхронные операции,Асинхронность
6,В чём суть проекта Celery,Асинхронность
6,Для чего можно использовать celery,Асинхронность
6,Что такое async,Асинхронность
6,Как узнать свободное место на диске в консоли Linux,Tools
6,Какие основные команды Git вам известны,Tools
6,Какие есть уровни изоляции транзакций,Базы данных
6,Что такое шардирование,Базы данных
6,Какие минусы есть у индекса,Базы данных
6,Что знаешь про нормализацию,Базы данных
6,В чем разница между Posgres и MySQL,Базы данных
6,Назови четыре уровня изоляции транзакций,Базы данных
6,Что тебе известно о бинарном дереве,"Алгоритмы, структуры"
3,Что такое жадные алгоритмы,"Алгоритмы, структуры"
3,Что такое алгоритм Дейкстры,"Алгоритмы, структуры"
3,Плюсы и минусы реляционных баз данных,SQL
3,Как можно оптимизировать хвостовую рекурсию в Python,"Алгоритмы, структуры"
3,Что такое хвостовая рекурсия,"Алгоритмы, структуры"
3,Плюсы и минусы NoSQL базы данных,SQL
3,Какие бывают сигналы в Linux,Tools
3,"Какая сложность быстрее, линейная или логарифмическая","Алгоритмы, структуры"
3,Расскажи про понятие вычислительной сложности.,"Алгоритмы, структуры"
3,Какую систему контроля версий используешь,Tools
3,"Откуда берется O(n) и почему это лучше, чем O(n²)","Алгоритмы, структуры"
3,Какая сложность у пузырьковой сортировки,"Алгоритмы, структуры"
3,В чем отличие Cron от Apache Airflow,Tools
3,Что такое git stash,Tools
3,Почему обращение по индексу работает быстро,"Алгоритмы, структуры"
3,Чем массивы отличаются от списков,"Алгоритмы, структуры"
3,Что такое Apache Airflow,Tools
3,Почему поиск по ключам в словаре работает быстро,"Алгоритмы, структуры"
3,"Если бы у нас нет было list в python, то как построить такую структуру данных","Алгоритмы, структуры"
3,Какой опыт с google cloud,Tools
3,Как в одной команде проиндексировать все файлы и добавить коммит,Tools
3,Насколько сложен поиск по ключу в хеш таблице,"Алгоритмы, структуры"
3,В чем сложность массивов и хешмапов,"Алгоритмы, структуры"
3,Использовал ли в CSS препроцессоры,Tools
3,Как работает хеш мап,"Алгоритмы, структуры"
3,В чем преимущество хеш мапов перед массивами,"Алгоритмы, структуры"
3,Работал ли с AWS,Tools
3,Что такое ветка в GIT,Tools
3,Как посмотреть список запущенных процессов на Linux,Tools
3,Как работает динамический массив,"Алгоритмы, структуры"
3,Чем отличается множество от массива,"Алгоритмы, структуры"
3,Зачем нужен volume в docker,Tools
3,Какова сложность вставки в список,"Алгоритмы, структуры"
3,Какая сложность у бинарного поиска,"Алгоритмы, структуры"
3,Что такое docker container,Tools
3,Что делали в Docker,Tools
3,Приходилось ли ранее писать вручную запросы SQL,Базы данных
3,Какая сложность у операции поиска всех элементов по индексу,"Алгоритмы, структуры"
3,Какие связи с моделями в БД знаешь,Базы данных
3,Как бы сохранял данные после парсинга в базу данных,Базы данных
3,Какая сложность у операции перебора всех элементов списка,"Алгоритмы, структуры"
3,Что такое docker image,Tools
3,Есть ли диалекты в SQL,Базы данных
3,Каким образом происходит редактирование реляционных БД Какой язык используется для этого,Базы данных
3,В чем разница между SQL lite и Express SQL,Базы данных
3,Какая разница между базами данных MySQL и NoSQL,Базы данных
3,"Чем отличается RIGHT, LEFT, INNER, JOIN",Базы данных
3,На основе какой структуры данных реализованы словари в Python,"Алгоритмы, структуры"
3,Как с помощью одного запроса можно выбрать данные из двух таблиц,Базы данных
3,Как выбрать данные из двух таблиц без метода join(),Базы данных
3,В чем разница между рекурсией и итерированием,"Алгоритмы, структуры"
3,Как используется кеширование в докере,Tools
3,Назовите админские команды в Linux,Tools
3,Насколько хорошо вы знаете Linux,Tools
3,"Каким образом можно найти ""медленный запрос"" и проанализировать его в PostgreSQL",Базы данных
3,Что такое блокировки (локи) в БД,Базы данных
3,"Что такое CGI. Плюсы, минусы",Веб-разработка
3,Как защитить куки от воровства и от подделки,Веб-разработка
3,Какая разница между аутентификацией и авторизацией,Веб-разработка
3,Что такое XSS. Примеры. Как защитить приложение,Веб-разработка
3,Как можно получить имя модуля,Модули / Пакеты
3,Что такое модульное программирование,Модули / Пакеты
3,Как Python ищет модули при импорте,Модули / Пакеты
3,Что можете сказать о конструкции import package.item,Модули / Пакеты
3,Какая разница между EXPLAIN и EXPLAIN ANALYZE,Базы данных
3,Какие блокировки бывают в Postgres,Базы данных
3,Как можно заблокировать конкретные поля в Postgres,Базы данных
3,Какая основная идея функционального программирования,"Алгоритмы, структуры"
3,Зачем нужен файл docker.ignore,Tools
3,Как пропустить заблокированные поля в БД при использовании select,Базы данных
3,Какие есть особенности работы с репликацией,Базы данных
3,Какая сложность сортировки слияния в худшем случае,"Алгоритмы, структуры"
3,Какие бывают типы JOIN'ов,Базы данных
3,В каком порядке выполняются запросы where и having,Базы данных
3,Чем отличается быстрая сортировка от сортировки слияния,"Алгоритмы, структуры"
3,Зачем нужен докер файл,Tools
3,Как проверить доступность порта на удаленной машине,Tools
3,В чем смысл CAP теоремы,Базы данных
3,Какие join методы знаешь,Базы данных
3,Что такое сортировка слиянием,"Алгоритмы, структуры"
3,Как происходит профилирование запросов к БД,Базы данных
3,Для чего использовал alembic,Базы данных
3,Какие алгоритмы сортировок знаешь,"Алгоритмы, структуры"
3,Назови основные команды docker,Tools
3,Чем отличается join от leftjoin,Базы данных
3,В каком свойстве можно посмотреть текст sql запроса,Базы данных
3,Какая алгоритмическая сложность у получения ключа из словаря,"Алгоритмы, структуры"
3,Какие виды репликаций есть таблицы,Базы данных
3,Какие подводные камни добавления индексов на большие таблицы,Базы данных
3,"Опиши алгоритм, который будет брать числа от 1 до 1000 и подсчитывать количество чисел с семеркой","Алгоритмы, структуры"
3,Что такое docker registry,Tools
3,Что такое PID процесса,Tools
3,Что используете для организации рабочего времени,Tools
3,Зачем нужен wraps,Python
3,Как посмотреть количество текущих коннектов к базе,Базы данных
3,Зачем нужны схемы в БД,Базы данных
3,"Что знаешь о структуре ""очередь""","Алгоритмы, структуры"
3,Как посмотреть примерное количество записей в БД,Базы данных
3,С какими драйверами работал ли с MongoDB,Базы данных
3,Опиши основные операции структур стек и очередь,"Алгоритмы, структуры"
3,Зачем нужен docker registry,Tools
3,Что такое уровни изоляции транзакций,Базы данных
3,"Расскажи про денормализация, был ли опыт",Базы данных
3,Какие бывают индексы в SQL,Базы данных
3,Чем отличаются оператор where и having в SQL,Базы данных
3,В чем разница между структурой данных стек и очередь,"Алгоритмы, структуры"
3,Что такое docker daemon,Tools
3,Что такое индексы в postgres,Базы данных
3,"Где лучше хранить хеш запроса, в redis или postgres",Базы данных
3,В чем преимущество NoSQL перед SQL,Базы данных
3,Как понять что какой-то запрос в БД подтормаживает,Базы данных
3,Чем отличается docker от виртуальной машины,Tools
3,Как индекс ускоряет запросы в БД,Базы данных
3,Какие базы данных NoSQL знаешь,Базы данных
3,Что такое PK и FK в sql,Базы данных
3,Когда происходит запросы к базам при использовании query set,Базы данных
3,Какой IDE используешь,Tools
3,Какую операционную систему используете,Tools
3,Какие способы знаешь работы с базой данной,Базы данных
3,Зачем нужны join-запросы,Базы данных
3,Какие они бывают join-запросы,Базы данных
3,Что такое индекс у реляционной базы данных,Базы данных
3,Какими тузами пользуешься при работе с kit'ом,Tools
3,Что такое SQL Join,Базы данных
3,Как он работает SQL Join,Базы данных
3,Почему оптимизация запросов важный навык,Базы данных
3,Что понимаешь под навыками работы с базами данных,Базы данных
3,От чего будешь создавать ветку,Tools
3,Какие команды управления транзакциями знаешь,Базы данных
3,Какие они бывают join-запросы,Базы данных
3,Методы __getitem__ и __setitem__ и __delitem__,ООП
3,Что такое индекс у реляционной базы данных,Базы данных
3,Какими тузами пользуешься при работе с kit'ом,Tools
3,Что такое SQL Join,Базы данных
3,"Методы __add__ , __mul__ , __sub__ , __truediv__",ООП
3,Как он работает SQL Join,Базы данных
3,Что такое деструктор класса,ООП
3,Когда нельзя линеаризовать,ООП
3,Почему оптимизация запросов важный навык,Базы данных
3,Что понимаешь под навыками работы с базами данных,Базы данных
3,От чего будешь создавать ветку,Tools
3,Какие команды управления транзакциями знаешь,Базы данных
3,Является ли класс объектом,ООП
3,Что такое вложенные транзакции,Базы данных
3,Что такое курсор и зачем он нужен,Базы данных
3,Какие готовые реализации MQ знаешь,ООП
3,Что такое VACUUM в PostgreSQL,Базы данных
3,Какие способы для мониторинга веб-приложений в production использовал или знаешь,REST & SOAP
3,Что такое lru cache,ООП
3,Что такое паттерн Посетитель (Visitor),ООП
3,Что такое EXPLAIN,Базы данных
3,Что такое шаблонный метод (Template method),ООП
3,Что такое паттерн Стратегия (Strategy),ООП
3,Что такое однопоточность,Асинхронность
3,Как бы решили какой из REST или SOAP веб сервисов использовать,REST & SOAP
3,Что такое паттерн Состояние (State),ООП
3,Что такое RPC,ООП
3,Что такое gPRC,ООП
3,Зачем нужен ОПП,ООП
3,Что такое Наблюдатель (Observer),ООП
3,Что такое абстрактный метод,ООП
3,Виды наследования,ООП
3,Что такое проблема наследования,ООП
3,Что такое параллелизм,Асинхронность
3,Что такое конструктор класса / Как создается объект,ООП
3,Что такое хранитель (Memento),ООП
3,Методы __len__ и __abs__,ООП
3,Что такое паттерн Посредник (Mediator),ООП
3,Метод __bool__,ООП
3,"Методы __eq__ , __ne__ , __lt__ , __le__ , __qt__ , __qe__",ООП
3,Методы __call__,ООП
3,Что такое конкурентность,Асинхронность
3,Методы __enter__ и __exit__,ООП
3,Какие есть методы у классов,ООП
3,"В чем разница методов экземпляра, класса и статическими",ООП
3,Зачем нужен docker registry,REST & SOAP
3,Что такое @staticmethod,ООП
3,Что такое @dataclass,ООП
3,Чем отличается атрибут класса от атрибута объекта,ООП
3,Какое flo используешь,Tools
3,Что такое Try Except,ООП
3,С какими системами мониторинга знаком,Tools
3,"Как еще мы можем гарантировать закрытие файла, если не через with",ООП
3,Какой редактор используете,Tools
3,Что такое monkey patch,Тестирование
3,Какие модули для тестирования знаешь,Тестирование
3,Что такое unit test,Тестирование
3,Что такое паттерн Интерпретатор (Interpreter),ООП
3,Что такое mock,Тестирование
3,Всегда ли нужны тесты,Тестирование
3,Какие бывают виды тестов,Тестирование
3,Что такое паттерн Команда (Command),ООП
3,"Какие могут быть проблемы, если смотреть только на покрытие тестами",Тестирование
3,Пирамида тестирования,Тестирование
3,Что такое mocking,Тестирование
3,Что такое асинхронное программирование,Асинхронность
3,"Что делать, если тестируемая функция занимает много времени на выполнение повторяющихся операций внутри неё",Тестирование
3,Чем интеграционное тестирование отличается от функционального,Тестирование
3,Что такое Цепочка ответственности (Chain of responsobility),ООП
3,Что такое поведенческие паттерны,ООП
3,Что за функция wait(),Асинхронность
3,Что происходит с запросом после того как мы обработали его во вьюхе,Фреймворки
3,Каким образом проходит информация валидацию Когда она это делает,Фреймворки
3,Что такое WSGI,Фреймворки
3,Какие веб-фреймворки кроме Flask использовал,Фреймворки
3,Какой веб-фреймворк бы выбрал для реализации проекта,Фреймворки
3,Какие asgi сервера знаешь,Фреймворки
3,"В чем отличие Django от микрофреймворков, например FastAPI",Фреймворки
3,Почему перешел с C Sharp на Python,Языки
3,Чем отличается интерпретируемый язык или компилируемого,Языки
3,"Что знаешь о типизации, которая подразделяется на сильную/слабую и строгую/нестрогую",Языки
3,Что такое Code Debt и как с ним быть,SDLC
3,Чем отличается динамическая и статическая типизация,Языки
3,Разница между C++ и Python,Языки
3,Что значит строгая типизация,Языки
3,Какие есть низкоуровневые языки программирования,Языки
3,Какие есть высокоуровневые языки программирования,Языки
3,Что такое машинный код,Языки
3,Какие есть отличия у python и js,Языки
3,Какой аналог листа в JavaScript,Языки
3,Что такое паттерн Заместитель (Proxy),ООП
3,Что такое паттерн Приспособленец (Flyweight),ООП
3,Что за функция gather(),Асинхронность
3,Что такое паттерн Фасад (Facade),ООП
3,Что такое паттерн Компоновщик (Composite),ООП
3,Что за функция create_task(),Асинхронность
3,"что будете делать, если на проекте нет тестов и заказчик не хочет тратить на их разработку время и деньги",SDLC
3,Каким образом использовал хеширование ранее,Best Practices
3,Зачем нужен kubernetes,Tools
3,Как бы сверстал прототип адаптивного сайта,Best Practices
3,Как ранее организовывал систему работы версий в проекте,Best Practices
3,Что такое agile,Best Practices
3,Что такое scrum,Best Practices
3,Что нужно сделать перед отправкой Python файла с большим количеством импортов,Best Practices
3,Нужно ли указывать в файле requirements версию каждой используемой библиотеки,Best Practices
3,Для чего библиотека mypy,Best Practices
3,Для чего аннотация делается,Best Practices
3,Какие есть минусы у Monkey Patch если использовать не в тесте,Best Practices
3,Какая длина строки у PEP8,Best Practices
3,Какие есть варианты git flow,Best Practices
3,Почему плохо хранить данные SQL в Docker контейнере,Best Practices
3,Для чего используется dock str и что это,Best Practices
3,Что знаешь о принципах программирования YAGNI,Best Practices
3,Что такое SDLC,Best Practices
3,Что такое изоморфное приложение,Best Practices
3,Чем отличается микросервисная архитектура от монолитной,Best Practices
3,Зачем может потребоваться создавать свой тип исключения,Best Practices
3,Что такое SRP,Best Practices
3,Какие методы разработки тебе знакомы,Best Practices
3,Какие есть 6 этапов разработки продукта,Best Practices
3,В чем разница между хешированием и шифрованием,Best Practices
3,"Какие критерии кода в процедурном стиле можно назвать хорошим, а какие плохим",Best Practices
3,Как определить скорость работы программы,Best Practices
3,Что нужно знать бэкенд-разработчику,Best Practices
3,Всегда ли нужно избавляться от дублирования кода,Best Practices
3,"Как понимаешь, когда нужно избавляться от дублирования",Best Practices
3,Как найти баланс между соблюдением KISS и DRY,Best Practices
3,Когда нужно написать плохой код,Best Practices
3,"Что нужно делать, чтобы писать хороший код",Best Practices
3,S - Single Responsibility Principle - принцип единственной ответственности,Best Practices
3,O - Open closed Principle - принцип открытости-закрытости,Best Practices
3,L - Liskov substitution Principle - принцип подстановки Барбары Лисков,Best Practices
3,I - Interface Segregation Principle - принцип разделения интерфейсов,Best Practices
3,Что такое параллелизм,Асинхронность
3,Что будешь делать если спор с коллегой,Best Practices
3,Что такое хранитель (Memento),ООП
3,Что такое паттерн Посредник (Mediator),ООП
3,Что такое конкурентность,Асинхронность
3,Зачем нужен docker registry,REST & SOAP
3,Какое flo используешь,Tools
3,С какими системами мониторинга знаком,Tools
3,Какой редактор используете,Tools
3,Что такое паттерн Интерпретатор (Interpreter),ООП
3,Что такое паттерн Команда (Command),ООП
3,"Для чего нужны библиотеки sqlparse, asgiref в Django",Django
3,Что такое асинхронное программирование,Асинхронность
3,Что такое Цепочка ответственности (Chain of responsobility),ООП
3,Что такое поведенческие паттерны,ООП
3,Как Django обрабатывает запрос/ответ,Django
3,Что за функция wait(),Асинхронность
3,Как сгенерировать и применить миграцию,Django
3,Что такое Code Debt и как с ним быть,SDLC
3,Для чего используется IntegerChoices,Django
3,Что такое паттерн Заместитель (Proxy),ООП
3,Чем ApiView отличается от ViewSet,Django
3,Что такое работа с сетью,HTTP / API
3,Какие есть варианты определения модели пользователя в Django,Django
3,Как сделать кастомную авторизацию в Django,Django
3,Как в Django реализована работа с websocket,Django
3,Что такое толстые модели в Django,Django
3,Где лучше расположить логику в моделях или сериализаторе,Django
3,Какой опыт работы с Django,Django
3,Что такое models,Django
3,Как создать объект в Django ORM,Django
3,Какие есть модели в Django,Django
3,Расскажи про manage.py в Django,Django
3,Расскажи про Django rest framework,Django
3,Как настраивать ссылки,Django
3,Как бы описал модель проектирования Django,Django
3,Что такое контекстный процессор,Django
3,Что такое сигналы,Django
3,Что такое паттерн Приспособленец (Flyweight),ООП
3,Какие базовые классы django нам предоставляет,Django
3,Что за функция gather(),Асинхронность
3,"Назовите основные мидлвари, зачем они нужны",Django
3,Что такое паттерн Фасад (Facade),ООП
3,Как реализуется связь m2m на уровне базы данных,Django
3,Что такое паттерн Компоновщик (Composite),ООП
3,Что за функция create_task(),Асинхронность
3,"что будете делать, если на проекте нет тестов и заказчик не хочет тратить на их разработку время и деньги",SDLC
3,Как в django работает система аутентификации,Django
3,Зачем нужен kubernetes,Tools
3,Что такое паттерн Мост (Bridge),ООП
3,Что такое паттерн Адаптер (Adapter),ООП
3,Почему предпочитаешь Flask,Flask
3,Что за функция sleep(),Асинхронность
3,В чём его особенность asyncio,GIL
3,Что такое Структурные (Structural) паттерны,ООП
3,"Какие задачи хорошо параллелятся, какие плохо",GIL
3,Что такое паттерн Прототип (Prototype),ООП
3,Треды в Питоне — это нативные треды или нет,GIL
3,Что за функция run(),Асинхронность
3,Какие знаешь инструменты для проверки кодстайл,GIL
3,Какая разница между Scrum и Kanban,SDLC
3,Что такое рефлексия,GIL
3,Что такое Фабричный метод (Factory method),ООП
3,Что такое Построитель (Builder),ООП
3,Почему вычислять большие значения в асинхронной функции плохо,Асинхронность
3,Что такое абстрактная фабрика,ООП
3,Что такое WebSocket,HTTP / API
3,Чем WebSocket отличается от обычного сокета,HTTP / API
3,Как открывается WebSocket,HTTP / API
3,Что такое JWT,HTTP / API
3,Что такое SOAP,HTTP / API
3,Чем SOAP отличается от REST,HTTP / API
3,Что случится с сервером при использовании GET,HTTP / API
3,Для чего нужна библиотека python для работы с AWS серверами,HTTP / API
3,Что такое SPA,HTTP / API
3,Какой auth flow знаешь,HTTP / API
3,Что происходит при обращении к сайту,HTTP / API
3,Зачем посылается options в http запросе перед запросами GET/POST,HTTP / API
3,Что такое авторизация,HTTP / API
3,Что такое протоколы,HTTP / API
3,Различия между REST и RPC,HTTP / API
3,Что такое POST,HTTP / API
3,Что такое GET,HTTP / API
3,"Зачем нужны остальные глаголы, кроме GET",HTTP / API
3,Что такое cookie,HTTP / API
3,Как можно ускорить работу большого количества запросов HTTP,HTTP / API
3,Что такое TCP/IP,HTTP / API
3,Уровени TCP / IP,HTTP / API
3,Что такое TCP,HTTP / API
3,Что такое UDP,HTTP / API
3,Что такое IP,HTTP / API
3,Что такое URI,HTTP / API
3,Что такое URL,HTTP / API
3,Разница URI и URL,HTTP / API
3,Что такое порт,HTTP / API
3,Что такое кэш,HTTP / API
3,Разница кэш и куки,HTTP / API
3,Что такое DNS и как он работает,HTTP / API
3,Что такое домен / доменное имя,HTTP / API
3,Что такое Host,HTTP / API
3,Что такое Hosting,HTTP / API
3,Как выглядит запрос http,HTTP / API
3,Какую версию http мы сейчас используем,HTTP / API
3,"Отличие методов GET, POST и HEAD",HTTP / API
3,"Почему не рекомендуется авторизовываться через get, почему лучше использовать post",HTTP / API
3,Можно ли через get отправить файл,HTTP / API
3,Что такое SSL и TLS,HTTP / API
3,Что такое REST,HTTP / API
3,Что такое RESTful,HTTP / API
